filename	xmlid	au_name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
FRA00301_Aimard	FRA00301	Aimard, Gustave	Les Trappeurs de l'Arkansas	1818	1883	viaf:9841962 wikidata:Q472068	Bibliothèque électronique du Québec (BEQ)	1858	viaf:309322317 wikidata:Q19214045	fr	90276	NA	heterodiegetic	M	medium	low	T1
FRA00302_Aimard	FRA00302	Aimard, Gustave	Belle rivière	1818	1883	viaf:9841962 wikidata:Q472068	Bibliothèque électronique du Québec (BEQ)	1894	viaf:missing	fr	139314	NA	heterodiegetic	M	long	low	T2
FRA40302_Aimard	FRA40302	Aimard, Gustave		NA	NA	viaf:9841962	NA	1858	NA	fra	84338	NA	NA	U	medium	unspecified	T1
FRA40312_Aimard	FRA40312	Aimard, Gustave		NA	NA	viaf:9841962	NA	1858	NA	fra	89310	NA	NA	U	medium	unspecified	T1
FRA40314_Aimard	FRA40314	Aimard, Gustave		NA	NA	viaf:9841962	NA	1858	NA	fra	105642	NA	NA	U	long	unspecified	T1
FRA40313_Aimard	FRA40313	Aimard, Gustave		NA	NA	viaf:9841962	NA	1859	NA	fra	108859	NA	NA	U	long	unspecified	T1
FRA00502_Balzac	FRA00502	Balzac, Honoré de	Le cousin Pons	1799	1850	viaf:29529595 wikidata:Q9711	Éfélé	1851-1853	viaf:305992935 wikidata:Q2699195	fr	111052	NA	heterodiegetic	M	long	high	T1
FRA00501_Balzac	FRA00501	Balzac, Honoré de	Albert Savarus	1799	1850	viaf:29529595 wikidata:Q9711	Éfélé	1853	viaf:174178728 wikidata:Q2740921	fr	42274	NA	heterodiegetic	M	short	high	T1
FRA00503_Balzac	FRA00503	Balzac, Honoré de	Le curé de village	1799	1850	viaf:29529595 wikidata:Q9711	Éfélé	1854	viaf:177407570 wikidata:Q2718088	fr	93205	NA	heterodiegetic	M	medium	high	T1
FRA40561_Balzac	FRA40561	Balzac, Honoré de	La fausse maîtresse    	NA	NA	viaf:29529595	NA	1842	NA	fra	18687	NA	NA	U	short	unspecified	T1
FRA40562_Balzac	FRA40562	Balzac, Honoré de	Albert Savarus    	NA	NA	viaf:29529595	NA	1842	NA	fra	40691	NA	NA	U	short	unspecified	T1
FRA40565_Balzac	FRA40565	Balzac, Honoré de	Un début dans la vie    	NA	NA	viaf:29529595	NA	1842	NA	fra	57737	NA	NA	U	medium	unspecified	T1
FRA00601_Boisgobey	FRA00601	Boisgobey, Fortuné du	Le crime de l'omnibus	1821	1891	viaf:19720225 wikidata:Q969321	Ebooks libres et gratuits	1881	viaf:1765151656351208400006 wikidata:missing	fr	93658	crime fiction	heterodiegetic	M	medium	low	T3
FRA00602_Boisgobey	FRA00602	Boisgobey, Fortuné du	Rubis sur l'ongle	1821	1891	viaf:19720225 wikidata:Q969321	(unspecified)	1886	viaf:missing wikidata:missing	fr	104131	NA	heterodiegetic	M	long	low	T3
FRA40106_Boisgobey	FRA40106	Boisgobey, Fortuné du	La Bande rouge    	NA	NA	viaf:19720225	NA	1886	NA	fra	227858	NA	NA	U	long	unspecified	T3
FRA41002_Boisgobey	FRA41002	Boisgobey, Fortuné du	L'oeil-de-chat    	NA	NA	viaf:19720225	NA	1888	NA	fra	159240	NA	NA	U	long	unspecified	T3
FRA00603_Boisgobey	FRA00603	Boisgobey, Fortuné du	Double-blanc    	1821	1891	viaf:19720225	NA	1889	viaf:unavailable	fra	125052	NA	NA	M	long	low	T3
FRA07501_Darien	FRA07501	Darien, Georges	Le Voleur	1862	1921	viaf:59052457 wikidata:Q1508877	CLiGS	1897	viaf:210980756 wikidata:Q3228211	fr	145111	NA	homodiegetic	M	long	high	T3
FRA40719_Darien	FRA40719	Darien, Georges		NA	NA	viaf:59052457	NA	1890	NA	fra	71623	NA	NA	U	medium	unspecified	T3
FRA40720_Darien	FRA40720	Darien, Georges		NA	NA	viaf:59052457	NA	1897	NA	fra	132421	NA	NA	U	long	unspecified	T3
FRA00901_Daudet	FRA00901	Daudet, Alphonse	Le petit chose	1840	1897	viaf:4928621 wikidata:Q228546	Ebooks libres et gratuits	1867	viaf:184784857 wikidata:Q1057575	fr	87744	NA	autodiegetic	M	medium	high	T2
FRA40020_Daudet	FRA40020	Daudet, Alphonse	Le petit chose    	NA	NA	viaf:4928621	NA	1867	NA	fra	86121	NA	NA	U	medium	unspecified	T2
FRA40023_Daudet	FRA40023	Daudet, Alphonse	Les aventures prodigieuses de Tartarin de Tarascon    	NA	NA	viaf:4928621	NA	1872	NA	fra	28045	NA	NA	U	short	unspecified	T2
FRA40018_Daudet	FRA40018	Daudet, Alphonse	Le Nabab    	NA	NA	viaf:4928621	NA	1877	NA	fra	140061	NA	NA	U	long	unspecified	T2
FRA00903_Daudet	FRA00903	Daudet, Alphonse	Numa Roumestan : Mœurs Parisiennes    	1840	1897	viaf:4928621	Ebooks libres et gratuits     	1881	viaf:287900644	fr	85708	NA	heterodiegetic     	M	medium	low	T3
FRA40019_Daudet	FRA40019	Daudet, Alphonse	Numa Roumestan    	NA	NA	viaf:4928621	NA	1881	NA	fra	82839	NA	NA	U	medium	unspecified	T3
FRA40344_Dombre	FRA40344	Dombre, Roger		NA	NA	viaf:37053113	NA	1889	NA	fra	23255	NA	NA	U	short	unspecified	T3
FRA01103_Dombre	FRA01103	Dombre, Roger	La Nounou    	1859	1914	viaf:37053113	NA	1890	oclc:457907781 viaf:unavailable	fra	40970	NA	NA	F	short	low	T3
FRA40343_Dombre	FRA40343	Dombre, Roger		NA	NA	viaf:37053113	NA	1890	NA	fra	46649	NA	NA	U	short	unspecified	T3
FRA40345_Dombre	FRA40345	Dombre, Roger		NA	NA	viaf:37053113	NA	1890	NA	fra	38180	NA	NA	U	short	unspecified	T3
FRA01102_Dombre	FRA01102	Dombre, Roger	Folla	1859	1914	viaf:37053113 wikidata:Q42529454	Bibliothèque électronique du Québec (BEQ)	1889	oclc:465119441 viaf:unavailable wikidata:missing	fr	24998	NA	heterodiegetic	F	short	low	T3
FRA01101_Dombre	FRA01101	Dombre, Roger	Une pupille gênante	1859	1914	viaf:37053113 wikidata:Q42529454	Bibliothèque électronique du Québec (BEQ)	1890	oclc:457908349 viaf:unavailable wikidata:missing	fr	50336	NA	heterodiegetic	F	medium	low	T3
FRA40740_Dumas	FRA40740	Dumas, Alexandre	Le château d'Eppstein    	NA	NA	viaf:51688902	NA	1843	NA	fra	72319	NA	NA	U	medium	unspecified	T1
FRA40008_Dumas	FRA40008	Dumas, Alexandre	Les mariages du père Olifus    	NA	NA	viaf:51688902	NA	1849	NA	fra	61684	NA	NA	U	medium	unspecified	T1
FRA40724_Dumas	FRA40724	Dumas, Alexandre	Les mille et un fantômes    	NA	NA	viaf:51688902	NA	1849	NA	fra	53147	NA	NA	U	medium	unspecified	T1
FRA40007_Dumas	FRA40007	Dumas, Alexandre	La femme au collier de velours    	NA	NA	viaf:51688902	NA	1850	NA	fra	59772	NA	NA	U	medium	unspecified	T1
FRA40731_Dumas	FRA40731	Dumas, Alexandre	Le meneur de loups    	NA	NA	viaf:51688902	NA	1857	NA	fra	80297	NA	NA	U	medium	unspecified	T1
FRA04102_Erckmann	FRA04102	Erckmann, Émile	Madame Thérèse, ou les volontaires de 92	1822	1899	viaf:31995972 wikidata:Q3246593	Bibliothèque électronique du Québec (BEQ)	1863	viaf:209896303 wikidata:missing	fr	61525	NA	autodiegetic	M	medium	high	T2
FRA40036_Erckmann	FRA40036	Erckmann, Émile	L'invasion ou le fou Yégof    	NA	NA	viaf:31995972	NA	1862	NA	fra	71190	NA	NA	U	medium	unspecified	T2
FRA40037_Erckmann	FRA40037	Erckmann, Émile	Madame Thérèse, ou les volontaires de 92    	NA	NA	viaf:31995972	NA	1863	NA	fra	60488	NA	NA	U	medium	unspecified	T2
FRA40025_Erckmann	FRA40025	Erckmann, Émile	L'ami Fritz    	NA	NA	viaf:31995972	NA	1864	NA	fra	66868	NA	NA	U	medium	unspecified	T2
FRA40030_Erckmann	FRA40030	Erckmann, Émile	Histoire d'un circonscrit de 1813    	NA	NA	viaf:31995972	NA	1864	NA	fra	66181	NA	NA	U	medium	unspecified	T2
FRA04101_Erckmann	FRA04101	Erckmann, Émile	Waterloo    	1822	1899	viaf:31995972	NA	1865	viaf:182215847	fra	81303	NA	NA	M	medium	high	T2
FRA01203_Feval	FRA01203	Féval, Paul Henri Corentin [dit Paul Féval père]	le Loup blanc	1816	1887	viaf:17222447 wikidata:Q472568	Ebooks libres et gratuits	1845	viaf:644145424532886830955 wikidata:Q3224087	fr	80201	NA	heterodiegetic	M	medium	high	T1
FRA01202_Feval	FRA01202	Féval, Paul Henri Corentin [dit Paul Féval père]	Les Errants de nuit	1816	1887	viaf:17222447 wikidata:Q472568	Ebooks libres et gratuits	1857	viaf:unavailable wikidata:missing	fr	103086	NA	heterodiegetic	M	long	low	T1
FRA01201_Feval	FRA01201	Féval, Paul Henri Corentin [dit Paul Féval père]	Le Cavalier Fortune	1816	1887	viaf:17222447 wikidata:Q472568	Ebooks libres et gratuits	1868	viaf:unavailable wikidata:missing	fr	136999	NA	heterodiegetic	M	long	low	T2
FRA01302_Flaubert	FRA01302	Flaubert, Gustave	Madame Bovary	1821	1880	viaf:9846192 wikidata:Q43444	Ebooks libres et gratuits	1857	viaf:186570439 wikidata:Q193417	fr	120122	NA	heterodiegetic	M	long	high	T1
FRA01303_Flaubert	FRA01303	Flaubert, Gustave	Salammbô	1821	1880	viaf:9846192 wikidata:Q43444	Wikisource	1862	viaf:176014945 wikidata:Q117182	fr	105395	NA	heterodiegetic	M	long	high	T2
FRA01301_Flaubert	FRA01301	Flaubert, Gustave	L'Éducation sentimentale	1821	1880	viaf:9846192 wikidata:Q43444	(unspecified)	1869	viaf:180462896 wikidata:missing	fr	149810	NA	heterodiegetic	M	long	high	T2
FRA40039_Flaubert	FRA40039	Flaubert, Gustave	Bouvard et Pécuchet    	NA	NA	viaf:9846192	NA	1881	NA	fra	85799	NA	NA	U	medium	unspecified	T3
FRA01402_Fleuriot	FRA01402	Fleuriot, Zénaïde	En congé	1829	1890	viaf:41872490 wikidata:Q3086433	Bibliothèque électronique du Québec (BEQ)	1874	oclc:561075297 viaf:unavailable wikidata:missing	fr	38021	NA	autodiegetic	F	short	low	T2
FRA01401_Fleuriot	FRA01401	Fleuriot, Zénaïde	Un enfant gâté	1829	1890	viaf:41872490 wikidata:Q3086433	Bibliothèque électronique du Québec (BEQ)	1877	viaf:missing wikidata:missing	fr	35076	NA	heterodiegetic	F	short	low	T2
FRA01403_Fleuriot	FRA01403	Fleuriot, Zénaïde	Alberte	1829	1890	viaf:41872490 wikidata:Q3086433	Bibliothèque électronique du Québec (BEQ)	1881	viaf:unavailable worldcat:944664084	fr	64213	NA	heterodiegetic	F	medium	low	T3
FRA40346_Fleuriot	FRA40346	Fleuriot, Zénaïde		NA	NA	viaf:41872490	NA	1880	NA	fra	48108	NA	NA	U	short	unspecified	T3
FRA40350_Fleuriot	FRA40350	Fleuriot, Zénaïde		NA	NA	viaf:41872490	NA	1881	NA	fra	59461	NA	NA	U	medium	unspecified	T3
