name	id	firstAuthor	title	subtitle	normalizedGenre	yearNormalized	size	libretto	averageClustering	density	averagePathLength	maxDegreeIds	averageDegree	diameter	yearPremiered	yearPrinted	maxDegree	numOfSpeakers	numOfSpeakersFemale	numOfSpeakersMale	numOfSpeakersUnknown	numPersonGroups	numConnectedComponents	yearWritten	numOfSegments	wikipediaLinkCount	numOfActs	wordCountText	wordCountSp	wordCountStage	numOfP	numOfL
fouque-sigurd-der-schlangentoedter	ger000212	Fouqué	Sigurd. der Schlangentödter	Ein Heldenspiel in sechs Abentheuren		1808	26	false	0.827739707	0.307692308	1.738461538	sigurd	7.692307692	3		1808	23	26	10	13	3		1		17	0	6	28926	26924	1137	0	3822
fouque-sigurds-rache	ger000470	Fouqué	Sigurds Rache	Ein Heldenspiel in sechs Abentheuren		1810	50	false	0.879783562	0.364081633	1.655510204	gudruna	17.84	3		1810	44	50	8	41	1		1		11	0	6	22288	21664	1008	0	3042
freytag-der-gelehrte	ger000508	Freytag	Der Gelehrte	Trauerspiel in einem Act	Tragedy	1848	8	false	0.845833333	0.5	1.5	walter	3.5	2		1848	7	8	1	6	1		1	1844	16	0	0	7075	6805	382	0	979
freytag-die-journalisten	ger000365	Freytag	Die Journalisten	Lustspiel in vier Akten	Comedy	1852	24	false	0.877101654	0.739130435	1.260869565	bolz|bellmaus	17	2	1852	1854	23	24	5	19	0		1		7	1	4	27820	27425	2476	1065	13
freytag-graf-waldemar	ger000233	Freytag	Graf Waldemar	Schauspiel in fünf Akten		1848	19	false	0.837085412	0.555555556	1.444444444	waldemar	10	2	1848	1850	18	19	5	14	0		1	1847	7	0	5	22794	22520	1528	785	0
goethe-clavigo	ger000157	Goethe	Clavigo	Ein Trauerspiel	Tragedy	1774	10	false	0.905952381	0.844444444	1.155555556	clavigo|carlos|beaumarchais	7.6	2	1774	1774	9	10	2	8	0		1		5	6	5	14028	13930	800	442	0
goethe-das-jahrmarktsfest-zu-plundersweilern	ger000536	Goethe	Das Jahrmarktsfest zu Plundersweilern	Ein Schönbartspiel	Comedy	1778	29	false	1	1	1	several characters	28	1	1778	1789	28	29	7	22	0		1	1773/1778	1	0	0	4540	4446	244	0	641
goethe-der-buergergeneral	ger000106	Goethe	Der Bürgergeneral	Ein Lustspiel in einem Aufzuge	Comedy	1793	7	false	0.923809524	0.904761905	1.095238095	several characters	5.428571429	2	1793	1793	6	7	1	6	0		1	1793	14	3	0	8298	8150	773	924	0
goethe-der-triumph-der-empfindsamkeit	ger000130	Goethe	Der Triumph der Empfindsamkeit	Eine dramatische Grille		1778	14	false	0.857297464	0.472527473	1.593406593	mandandane	6.142857143	3	1778	1787	11	14	8	5	1		1	1777	6	2	6	12013	11799	1413	406	509
goethe-des-epimenides-erwachen	ger000458	Goethe	Des Epimenides Erwachen	Ein Festspiel		1815	22	false	0.750603437	0.311688312	2.585714286	epimenides	6.545454545	6	1815	1815	11	22	2	9	11		2		25	1	2	6947	6642	1049	0	990
goethe-die-laune-des-verliebten	ger000224	Goethe	Die Laune des Verliebten	Ein Schäferspiel in Versen und einem Akte		1768	4	false	0.833333333	0.833333333	1.166666667	egle|amine	2.5	2	1779	1806	3	4	2	2	0		1	1767/1768	9	3	0	5687	5586	434	0	662
goethe-die-mitschuldigen	ger000178	Goethe	Die Mitschuldigen	Ein Lustspiel in einem Akte	Comedy	1776	4	false	1	1	1	several characters	3	1	1776	1909	3	4	1	3	0		1	1768/1769	15	2	0	7503	7315	916	0	889
goethe-die-wette	ger000511	Goethe	Die Wette	Ein Lustspiel in einem Akt	Comedy	1812	6	false	1	1	1	several characters	5	1		1837	5	6	2	4	0		1	1812	5	0	0	3805	3563	267	128	0
goethe-erwin-und-elmire	ger000383	Goethe	Erwin und Elmire	Ein Schauspiel mit Gesang		1775	4	false	1	1	1	several characters	3	1	1775	1775	3	4	2	2	0		1	1774/1775	1	3	0	6434	6357	274	195	247
goethe-faust-in-urspruenglicher-gestalt	ger000539	Goethe	Faust [in ursprünglicher Gestalt]			1775	15	false	0.732592593	0.285714286	1.961904762	faust	4	3	1918	1887	10	15	3	9	3		1	1772/1775	20	0	0	12477	12313	756	146	1556
gotter-der-dorfjahrmarkt	ger000009	Gotter	Der Dorfjahrmarkt	Eine komische Oper in zwei Aufzügen		1775	18	true	0.806425365	0.62745098	1.39869281	lukas|fikfak	10.66666667	3	1775	1778	16	18	4	14	0		1		25	0	2	11547	11210	1474	623	226
gotter-die-geisterinsel	ger000061	Gotter	Die Geisterinsel	Ein Singspiel in drey Akten		1798	13	true	0.847052947	0.769230769	1.230769231	prospero|miranda	9.230769231	2	1798		12	13	1	10	2		1		28	0	3	13185	11699	2425	356	1079
gotter-medea	ger000246	Gotter	Medea			1775	5	true	0.7	0.7	1.3	medea	2.8	2	1775	1782	4	5	2	3	0		1		5	3	0	2222	2161	304	43	0
gottsched-atalanta	ger000252	Gottsched	Atalanta oder die bezwungene Sprödigkeit	Ein Schäferspiel. in fünf Aufzügen		1741	9	false	0.936507937	0.888888889	1.111111111	several characters	7.111111111	2		1741	8	9	3	6	0		1		37	0	5	15579	15082	405	0	1753
gottsched-der-sterbende-cato	ger000244	Gottsched	Der sterbende Cato	Ein Trauerspiel	Tragedy	1731	10	false	0.792142857	0.555555556	1.466666667	cato	5	3	1731	1732	8	10	2	8	0		1	1730	31	0	5	20073	14889	371	1	1712
gottschedin-das-testament	ger000220	Gottsched	Das Testament	Ein deutsches Lustspiel in fünf Aufzügen	Comedy	1745	12	false	0.828240741	0.636363636	1.393939394	fraeulein_amalie	7	3		1745	10	12	3	9	0		1		39	1	5	24529	24023	1682	1111	0
gottschedin-der-witzling	ger000395	Gottsched	Der Witzling	Ein deutsches Nachspiel in einem Aufzuge	Comedy	1745	7	false	0.733333333	0.666666667	1.333333333	jungfer_lottchen	4	2		1745	6	7	1	6	0		1		9	0	0	8830	8626	593	369	3
gottschedin-die-pietisterey-im-fischbein-rocke	ger000462	Gottsched	Die Pietisterey im Fischbein-Rocke oder Die Doctormäßige Frau		Comedy	1736	16	false	0.821924603	0.441666667	1.558333333	frau_glaubeleichtin	6.625	2		1736	15	16	8	8	0		1		40	1	5	24032	21891	460	1032	18
grabbe-die-hermannsschlacht	ger000516	Grabbe	Die Hermannsschlacht			1838	106	false	0.955508749	0.160287511	1.819297401	hermann	16.83018868	3	1936	1838	82	106	6	99	1		3	1835/1836	17	0	0	16349	15886	1757	776	3
grabbe-don-juan-und-faust	ger000209	Grabbe	Don Juan und Faust	Eine Tragödie in vier Akten	Tragedy	1829	21	false	0.950210084	0.638095238	1.39047619	faust	12.76190476	3	1829	1829	18	21	2	14	5		1	1829	11	2	4	23458	23218	1462	33	3395
grabbe-hannibal	ger000393	Grabbe	Hannibal			1835	118	false	0.923893499	0.090105751	2.189492754	hannibal	10.54237288	4	1918	1835	40	118	11	95	12		4	1834/1835	28	1	5	17658	17173	1888	927	0
grabbe-herzog-theodor-von-gothland	ger000158	Grabbe	Herzog Theodor von Gothland	Eine Tragödie in fünf Akten	Tragedy	1827	61	false	0.884296066	0.326229508	1.673770492	berdoa	19.57377049	2	1892	1827	57	61	2	59	0		1	1818/1822	17	1	5	43429	42944	5033	0	6988
grabbe-kaiser-friedrich-barbarossa	ger000517	Grabbe	Kaiser Friedrich Barbarossa	Eine Tragödie in fünf Akten	Tragedy	1829	82	false	0.862663829	0.281842818	1.814513701	kaiser_friedrich	22.82926829	3	1875	1829	71	82	3	72	7		1	1829	12	0	5	22949	22460	2094	57	3150
grabbe-kaiser-heinrich-der-sechste	ger000518	Grabbe	Kaiser Heinrich der Sechste	Eine Tragödie in fünf Akten	Tragedy	1830	80	false	0.834039041	0.156329114	2.385486019	koenig_heinrich_kaiser_heinrich	12.35	4	1875	1830	42	80	7	70	3		2	1829	15	0	5	31255	30563	2103	251	3828
grabbe-napoleon	ger000378	Grabbe	Napoleon oder Die hundert Tage	Ein Drama in fünf Aufzügen		1831	259	false	0.954010238	0.089012601	2.833991379	chassecoeur|vitry	22.96525097	6	1895	1831	106	259	23	199	37		4	1829/1831	25	1	5	38123	36630	3142	1851	124
grabbe-scherz-satire-ironie-und-tiefere-bedeutung	ger000380	Grabbe	Scherz. Satire. Ironie und tiefere Bedeutung	Ein Lustspiel in drei Aufzügen	Comedy	1827	27	false	0.86356893	0.501424501	1.507122507	schulmeister|mollfels	13.03703704	3	1876	1827	24	27	3	24	0		1	1822	14	1	3	17048	16719	1865	582	12
grillparzer-der-gastfreund	ger000513	Grillparzer	Der Gastfreund	Trauerspiel in einem Aufzuge	Tragedy	1821	12	false	1	1	1	several characters	11	1	1821	1822	11	12	5	7	0		1	1818	1	0	1	4280	4023	565	0	619
grillparzer-der-traum-ein-leben	ger000358	Grillparzer	Der Traum ein Leben	Dramatisches Märchen in vier Aufzügen		1834	17	false	0.895299145	0.632352941	1.367647059	zanga|guelnare|rustan	10.11764706	2	1834	1840	16	17	4	13	0		1	1817/1830	4	1	4	18707	18412	3436	0	2914
grillparzer-des-meeres-und-der-liebe-wellen	ger000010	Grillparzer	Des Meeres und der Liebe Wellen	Trauerspiel in fünf Aufzügen	Tragedy	1831	11	false	1	1	1	several characters	10	1	1831	1840	10	11	3	7	1		1	1826/1829	5	0	5	19626	19301	2718	0	2452
grillparzer-die-ahnfrau	ger000444	Grillparzer	Die Ahnfrau	Trauerspiel in fünf Aufzügen	Tragedy	1817	10	false	0.907142857	0.866666667	1.133333333	hauptmann|guenther|jaromir	7.8	2	1817	1817	9	10	2	7	1		1	1816	5	1	5	19045	18884	1430	0	3442
grillparzer-die-argonauten	ger000514	Grillparzer	Die Argonauten	Trauerspiel in vier Aufzügen	Tragedy	1821	17	false	0.866955757	0.566176471	1.433823529	medea	9.058823529	2	1821	1822	16	17	5	11	1		1	1818/1819	9	0	4	15827	15476	2566	0	2172
grillparzer-die-juedin-von-toledo	ger000170	Grillparzer	Die Jüdin von Toledo	Historisches Trauerspiel in fünf Aufzügen	Tragedy	1851	16	false	0.850237956	0.65	1.35	garceran|koenig	9.75	2	1872	1872	15	16	5	10	1		1	1839/1851	5	2	5	16965	16716	1956	0	2144
grillparzer-ein-bruderzwist-in-habsburg	ger000121	Grillparzer	Ein Bruderzwist in Habsburg	Trauerspiel in fünf Aufzügen	Tragedy	1848	44	false	0.84766576	0.278012685	1.83192389	klesel|leopold	11.95454545	3	1872	1872	30	44	1	41	2		1	1848	12	1	5	25676	25287	3271	0	3205
grillparzer-ein-treuer-diener-seines-herrn	ger000372	Grillparzer	Ein treuer Diener seines Herrn	Trauerspiel in fünf Aufzügen	Tragedy	1828	37	false	0.884741406	0.421921922	1.578078078	bancbanus|otto	15.18918919	2	1828	1830	36	37	6	29	2		1	1826/1827	5	1	5	20229	19954	3152	0	2475
grillparzer-koenig-ottokars-glueck-und-ende	ger000286	Grillparzer	König Ottokars Glück und Ende	Trauerspiel in fünf Aufzügen	Tragedy	1825	55	false	0.88736059	0.469360269	1.530639731	several characters	25.34545455	2	1825	1825	54	55	7	44	4		1	1823	5	5	5	27076	26730	3706	0	3424
grillparzer-libussa	ger000512	Grillparzer	Libussa	Trauerspiel in fünf Aufzügen	Tragedy	1848	32	false	0.915024984	0.570564516	1.429435484	libussa	17.6875	2	1874	1872	31	32	12	20	0		1	1825/1848	15	0	5	22259	21733	2451	0	2808
gryphius-absurda-comica-oder-herr-peter-squentz	ger000547	Gryphius	Absurda Comica oder Herr Peter Squentz	Schimpff-Spiel	Comedy	1658	14	false	0.935897436	0.846153846	1.153846154	several characters	11	2		1658	13	14	3	11	0		1	1648/1650	3	0	3	9535	9162	562	266	476
gryphius-cardenio-und-celinde	ger000538	Gryphius	Cardenio und Celinde oder Unglücklich Verliebete	Trauerspiel	Tragedy	1657	17	false	0.866304284	0.573529412	1.441176471	cardenio	9.176470588	3	1661	1657	15	17	3	11	3		1	1650	5	0	5	19774	17542	214	0	2069
gryphius-carolus-stuardus	ger000550	Gryphius	Carolus Stuardus	Trauerspiel	Tragedy	1650	55	false	0.672307692	0.112457912	2.575406032	carol	6.072727273	7	1650	1657	15	55	14	39	2		9	1649	32	0	5	32436	31010	234	9	2774
gryphius-catharina-von-georgien	ger000548	Gryphius	Catharina von Georgien oder Bewehrete Beständigkeit	Trauerspiel	Tragedy	1651	22	false	0.649186924	0.220779221	1.909090909	catharina	4.636363636	4	1651	1657	13	22	9	10	3		4	1647	30	0	5	26236	25032	265	0	2910
gryphius-horribilicribrifax-teutsch	ger000549	Gryphius	Horribilicribrifax Teutsch	Scherzspiel	Comedy	1650	21	false	0.515721844	0.257142857	2.057142857	coelestina	5.142857143	4	1674	1663	9	21	7	14	0		1	1647/1650	42	0	5	22749	20138	393	937	12
gryphius-leo-armenius-oder-fuersten-mord	ger000546	Gryphius	Leo Armenius oder Fürsten-Mord	Trauer-spiel	Tragedy	1650	37	false	0.873335245	0.255255255	2.045045045	michael	9.189189189	4	1651	1650	25	37	3	34	0		1	1646	23	0	5	25485	24133	222	5	2754
gryphius-papinianus	ger000551	Gryphius	Großmütiger Rechtsgelehrter oder Sterbender Aemilius Paulus Papinianus	Trauerspiel	Tragedy	1659	34	false	0.654640947	0.135472371	2.302941176	papinianus	4.470588235	4	1660	1659	11	34	9	23	2		4	1659	31	0	5	30217	29041	249	12	2933
gryphius-verlibtes-gespenste-die-gelibte-dornrose	ger000552	Gryphius	Verlibtes Gespenste / Die gelibte Dornrose	Gesang-Spil / Schertz-Spil	Comedy	1660	21	false	0.909108088	0.266666667	1.188405797	wilhelm	5.333333333	2	1660	1661	9	21	5	16	0		4	1660	29	0	8	19470	18797	539	361	1102
guenderode-magie-und-schicksal	ger000440	Günderode	Magie und Schicksal	Drama in drei Akten		1805	9	false	0.972222222	0.972222222	1.027777778	several characters	7.777777778	2		1805	8	9	3	6	0		1		3	0	3	8747	8678	360	0	1152
guenderode-nikator	ger000125	Günderode	Nikator	Eine dramatische Skizze in drei Akten		1805	7	false	0.923809524	0.904761905	1.095238095	several characters	5.428571429	2		1805	6	7	2	5	0		1		3	0	3	3936	3882	102	0	509
guenderode-udohla	ger000293	Günderode	Udohla	Drama in zwei Akten		1805	7	false	1	1	1	several characters	6	1		1805	6	7	2	5	0		1		2	0	2	5588	5534	177	0	742
gutzkow-das-urbild-des-tartueffe	ger000019	Gutzkow	Das Urbild des Tartüffe	Lustspiel in fünf Aufzügen	Comedy	1844	17	false	0.759163712	0.477941176	1.580882353	moliere	7.647058824	3	1844	1847	13	17	3	14	0		1		35	0	5	23948	22110	1632	984	7
gutzkow-richard-savage	ger000006	Gutzkow	Richard Savage oder Der Sohn einer Mutter	Trauerspiel in fünf Aufzügen	Tragedy	1839	28	false	0.787224284	0.301587302	1.915343915	savage	8.142857143	4	1839	1842	22	28	3	24	1		1	1839	30	0	5	20964	20002	1855	480	25
gutzkow-uriel-acosta	ger000042	Gutzkow	Uriel Acosta	Trauerspiel in fünf Aufzügen	Tragedy	1846	17	false	0.744087938	0.367647059	1.661764706	uriel	5.882352941	3	1846	1847	15	17	2	13	2		1	1846	28	0	5	17379	15869	1488	0	2193
gutzkow-zopf-und-schwert	ger000045	Gutzkow	Zopf und Schwert	Lustspiel in fünf Aufzügen	Comedy	1844	26	false	0.809261446	0.32	1.843076923	koenig	8	3	1844	1844	18	26	5	18	3		1	1843	34	0	5	22747	20892	2569	1004	0
hartleben-die-sittliche-forderung	ger000350	Hartleben	Die sittliche Forderung		Comedy	1896	3	false	1	1	1	friedrich|rita|berta	2	1	1896	1897	2	3	2	1	0		1		1	0	0	5423	5318	949	257	16
hartleben-hanna-jagert	ger000099	Hartleben	Hanna Jagert	Komödie	Comedy	1893	18	false	0.897860963	0.529411765	1.470588235	hanna	9	2	1893	1893	17	18	6	11	1		1		3	0	3	20487	20186	3798	768	0
hartleben-rosenmontag	ger000114	Hartleben	Rosenmontag	Eine Offiziers-Tragödie	Tragedy	1898	24	false	0.828382588	0.471014493	1.572463768	moritz	10.83333333	3	1900	1898	20	24	0	24	0		1	1899	31	0	5	25994	24770	6141	1132	14
hauptmann-carl-der-antiquar	ger000239	Hauptmann	Der Antiquar	Komödie in einem Akt	Comedy	1909	4	false	1	1	1	several characters	3	1	1910	1909	3	4	1	3	0		1		1	0	1	7918	7794	1825	226	0
hauptmann-carl-die-armseligen-besenbinder	ger000059	Hauptmann	Die armseligen Besenbinder	Altes Märchen in fünf Akten		1913	35	false	0.829966691	0.280672269	1.92605042	der_gendarm	9.542857143	4	1913	1913	27	35	11	22	2		1		35	0	5	18507	17257	4376	500	16
hauptmann-carl-ephraims-breite	ger000104	Hauptmann	Ephraims Breite	Schauspiel in fünf Akten		1900	27	false	0.817169354	0.547008547	1.481481481	huhndorf|bauer|kretschmer	14.22222222	3	1900	1900	22	27	12	13	2		1	1899	35	0	5	21725	21005	4276	846	0
hauptmann-carl-frau-nadja-bielew	ger000060	Hauptmann	Frau Nadja Bielew	Tragischer Akt	Tragedy	1909	4	false	1	1	1	several characters	3	1		1909	3	4	3	1	0		1		1	0	1	6713	6586	1599	193	0
hauptmann-carl-gaukler-tod-und-juwelier	ger000406	Hauptmann	Gaukler. Tod und Juwelier	Spiel in fünf Akten		1917	30	false	0.747207692	0.429885057	1.744827586	mander	12.46666667	4	1920	1917	22	30	17	13	0		1		54	0	5	17631	16576	3868	431	25
hauptmann-carl-im-goldenen-tempel-buche-verzeichnet	ger000288	Hauptmann	Im goldenen Tempel-Buche verzeichnet	(Nach einer japanischen Skizze) / Dichtung in drei Vorgängen / (Hinter Schleiern zu spielen)		1909	9	false	0.858730159	0.694444444	1.305555556	hotoke|giwau	5.555555556	2	1910	1909	8	9	6	3	0		1		3	0	3	5547	5184	1451	0	604
hauptmann-carl-musik	ger000448	Hauptmann	Musik	Spiel in vier Akten		1918	34	false	0.973296908	0.459893048	1.232142857	der_domorganist	15.17647059	2		1918	24	34	5	13	16		2		32	0	4	10120	9553	2540	292	20
hauptmann-carl-tobias-buntschuh	ger000385	Hauptmann	Tobias Buntschuh	Eine burleske Tragödie in fünf Akten	Tragedy	1916	24	false	0.680838143	0.224637681	1.904761905	clown_odebrecht	5.166666667	3		1916	15	24	4	19	0		3		62	0	5	19248	17808	4235	497	27
hauptmann-die-ratten	ger000477	Hauptmann	Die Ratten	Berliner Tragikomödie	Tragicomedy	1911	18	false	0.887380049	0.764705882	1.235294118	several characters	13	2	1911	1911	17	18	8	10	0		1	1910	5	5	5	32222	29755	5227	967	40
hauptmann-florian-geyer	ger000504	Hauptmann	Florian Geyer	Die Tragödie des Bauernkrieges	Tragedy	1896	91	false	0.901037761	0.311111111	1.78021978	florian_geyer	28	3	1896	1896	79	91	4	87	0		1	1894/1895	6	0	5	38387	35862	4467	1497	62
hebbel-agnes-bernauer	ger000043	Hebbel	Agnes Bernauer	Ein deutsches Trauerspiel in fünf Aufzügen	Tragedy	1852	31	false	0.85154969	0.348387097	1.696774194	albrecht	10.4516129	3	1852	1855	25	31	3	27	1		1		63	1	5	25845	25299	2062	909	3
hebbel-demetrius	ger000253	Hebbel	Demetrius			1864	28	false	0.728008009	0.272486772	1.899470899	demetrius	7.357142857	3	1869	1864	19	28	6	19	3		1	1863	78	0	5	27254	26806	1224	0	3951
hebbel-der-diamant	ger000179	Hebbel	Der Diamant	Eine Komödie in fünf Akten	Comedy	1847	23	false	0.915458937	0.292490119	1.330275229	jacob|der_prinz	6.434782609	3	1848	1847	12	23	9	14	0		3	1841	29	0	5	23647	22838	1251	585	459
hebbel-der-gehoernte-siegfried	ger000016	Hebbel	Der gehörnte Siegfried	Vorspiel in einem Akt		1861	9	false	0.718518519	0.555555556	1.090909091	several characters	4.444444444	2	1861	1862	6	9	2	7	0		2		4	0	0	5117	5032	98	0	694
hebbel-der-rubin	ger000325	Hebbel	Der Rubin	Ein Märchen-Lustspiel in drei Akten	Comedy	1849	17	false	0.74751523	0.5	1.551470588	assad	8	3	1849	1851	14	17	1	15	1		1	1849	23	0	3	12351	12011	1265	0	1732
hebbel-genoveva	ger000327	Hebbel	Genoveva	Eine Tragödie in fünf Akten	Tragedy	1843	19	false	0.842534925	0.438596491	1.561403509	golo	7.894736842	2	1849	1843	17	19	3	15	1		1		44	0	5	33896	33087	2804	0	4511
hebbel-gyges-und-sein-ring	ger000238	Hebbel	Gyges und sein Ring	Eine Tragödie in fünf Akten	Tragedy	1856	9	false	0.972222222	0.972222222	1.027777778	several characters	7.777777778	2	1889	1856	8	9	3	5	1		1		5	0	5	16211	16073	512	0	2290
hebbel-herodes-und-mariamne	ger000101	Hebbel	Herodes und Mariamne	Eine Tragödie in fünf Akten	Tragedy	1849	27	false	0.842187454	0.296296296	1.917378917	herodes|titus	7.703703704	4	1849	1850	18	27	3	23	1		1		35	0	5	26986	26689	1028	0	3804
hebbel-judith	ger000324	Hebbel	Judith	Eine Tragödie in fünf Akten	Tragedy	1840	59	false	0.954137292	0.369959088	1.630040912	achior	21.45762712	2	1840	1841	53	59	7	50	2		1		7	2	5	22494	21841	1252	613	0
hebbel-kriemhilds-rache	ger000160	Hebbel	Kriemhilds Rache	Ein Trauerspiel in fünf Akten	Tragedy	1861	21	false	0.770038559	0.533333333	1.495238095	hagen	10.66666667	3	1861	1862	18	21	4	17	0		1		72	0	5	23439	22796	1496	0	3271
hofmannsthal-alkestis	ger000115	Hofmannsthal	Alkestis	Ein Trauerspiel nach Euripides	Tragedy	1894	33	false	1	0.829545455	1	several characters	26.54545455	1	1916	1909	29	33	8	17	7		2	1893/1894	2	0	1	7547	7506	743	0	975
hofmannsthal-arabella	ger000210	Hofmannsthal	Arabella	Lyrische Komödie in drei Aufzügen	Comedy	1928	18	false	0.896672772	0.777777778	1.222222222	several characters	13.22222222	2	1933	1928	17	18	5	12	1		1		3	17	3	13921	13574	3370	0	1364
hofmannsthal-ariadne-auf-naxos	ger000267	Hofmannsthal	Ariadne auf Naxos	Oper in einem Aufzuge nebst einem Vorspiel / Neue Bearbeitung		1912	17	true	0.927941176	0.639705882	1.360294118	zerbinetta|der_tenor_bacchus|primadonna_ariadne	10.23529412	2	1916	1912	16	17	5	12	0		1		2	21	1	7914	7737	1802	177	546
hofmannsthal-das-bergwerk-zu-falun	ger000161	Hofmannsthal	Das Bergwerk zu Falun			1899	27	false	0.920832076	0.461538462	1.538461538	elis	12	2	1949	1933	26	27	13	13	1		1	1899	5	1	5	21735	21105	3998	0	2474
hofmannsthal-das-salzburger-grosse-welttheater	ger000265	Hofmannsthal	Das Salzburger große Welttheater			1922	16	false	1	1	1	several characters	15	1	1922	1929	15	16	1	7	8		1		1	0	1	14215	14042	3223	134	1064
hofmannsthal-der-abenteurer-und-die-saengerin	ger000102	Hofmannsthal	Der Abenteurer und die Sängerin oder Die Geschenke des Lebens	In einem Aufzug (mit einer Verwandlung)		1899	16	false	0.941666667	0.883333333	1.116666667	several characters	13.25	2	1899	1899	15	16	5	11	0		1	1898	2	0	0	18039	17740	3423	85	1922
hofmannsthal-der-rosenkavalier	ger000109	Hofmannsthal	Der Rosenkavalier	Komödie für Musik		1911	32	true	0.914634394	0.556451613	1.443548387	several characters	17.25	2	1911	1911	31	32	6	20	6		1	1909/1910	3	30	3	20724	19753	7619	0	1785
hofmannsthal-der-schwierige	ger000364	Hofmannsthal	Der Schwierige	Lustspiel in drei Akten	Comedy	1920	18	false	0.740489757	0.392156863	1.68627451	crescence|hans_karl	6.666666667	3	1921	1920	13	18	7	11	0		1	1917	48	2	3	29644	29167	2513	1280	0
hofmannsthal-der-tod-des-tizian	ger000127	Hofmannsthal	Der Tod des Tizian	Ein dramatisches Fragment		1901	9	false	0.888888889	0.777777778	1	several characters	6.222222222	1	1901	1901	7	9	1	8	0		2	1892	2	2	1	3042	2727	745	0	324
hofmannsthal-der-tor-und-der-tod	ger000079	Hofmannsthal	Der Tor und der Tod			1894	6	false	1	1	1	several characters	5	1	1898	1894	5	6	2	3	1		1	1893	1	2	1	4185	4060	495	0	554
holz-ignorabimus	ger000390	Holz	Ignorabimus	Tragödie	Tragedy	1914	7	false	1	1	1	several characters	6	1	1927	1914	6	7	1	4	2		1		5	0	5	105637	104108	48851	3857	0
holz-jerschke-traumulus	ger000399	Holz	Traumulus	Tragische Komödie	Tragicomedy	1904	27	false	0.840389879	0.43019943	1.689458689	zedlitz	11.18518519	3	1904	1904	20	27	3	24	0		1		5	0	5	20356	19782	3259	923	29
holz-schlaf-die-familie-selicke	ger000223	Holz	Die Familie Selicke	Drama in drei Aufzügen		1890	8	false	1	1	1	several characters	7	1	1890	1890	7	8	3	5	0		1		3	1	3	18971	18524	5511	801	2
holz-sonnenfinsternis	ger000174	Holz	Sonnenfinsternis	Tragödie	Tragedy	1908	6	false	0.933333333	0.933333333	1.066666667	several characters	4.666666667	2	1913	1908	5	6	1	5	0		1		5	0	5	56770	55594	25800	2101	0
holz-sozialaristokraten	ger000051	Holz	Sozialaristokraten	Komödie	Comedy	1896	16	false	0.881417888	0.733333333	1.266666667	several characters	11	2	1897	1896	15	16	4	12	0		1		5	1	5	23309	22665	5009	877	10
iffland-das-erbtheil-des-vaters	ger000015	Iffland	Das Erbtheil des Vaters	Ein Schauspiel in vier Aufzügen		1802	15	false	0.85972546	0.685714286	1.342857143	dominique_sohn|delomer	9.6	3		1802	13	15	2	11	2		1		50	0	4	24567	24009	2194	1559	0
iffland-der-spieler	ger000303	Iffland	Der Spieler	Ein Schauspiel in fünf Aufzügen		1796	20	false	0.811745713	0.478947368	1.531578947	herr_von_wallenfeld	9.1	3	1796	1796	17	20	1	19	0		1		66	0	5	24724	24069	2572	1506	0
iffland-die-jaeger	ger000156	Iffland	Die Jäger	Ein ländliches Sittengemälde in fünf Aufzügen		1785	18	false	0.825525092	0.464052288	1.673202614	anton	7.888888889	3	1785	1785	12	18	5	12	1		1		70	0	5	27421	26574	2076	1562	19
iffland-figaro-in-deutschland	ger000434	Iffland	Figaro in Deutschland	Ein Lustspiel in fünf Aufzügen	Comedy	1790	17	false	0.85148479	0.669117647	1.330882353	baronesse|hyazinth|figaro	10.70588235	2		1790	15	17	2	14	1		1		95	0	5	31210	29625	3234	2024	0
iffland-verbrechen-aus-ehrsucht	ger000235	Iffland	Verbrechen aus Ehrsucht	Ein Familiengemälde in fünf Aufzügen		1784	16	false	0.69598908	0.408333333	1.641666667	ruhberg_der_sohn	6.125	3	1784	1784	13	16	4	12	0		1		56	0	5	21711	21217	1735	1182	0
immermann-andreas-hofer	ger000312	Immermann	Andreas Hofer. der Sandwirt von Passeier	Ein Trauerspiel	Tragedy	1835	39	false	0.794485547	0.13900135	2.251184834	andreas_hofer	5.282051282	4	1835	1865	23	39	4	30	5		2	1826/1833	33	0	5	18121	17709	1026	220	1956
immermann-das-gericht-von-st-petersburg	ger000465	Immermann	Das Gericht von St. Petersburg	Tragödie	Tragedy	1832	39	false	0.786269236	0.234817814	2.171390013	peter	8.923076923	5	1835	1832	26	39	4	35	0		1		33	0	5	20320	19752	1607	157	2456
immermann-die-bojaren	ger000463	Immermann	Die Bojaren	Schauspiel		1832	59	false	0.827389458	0.185271771	2.414962011	glebof	10.74576271	5	1835	1832	32	59	3	54	2		1		35	0	5	17926	17407	1547	50	2481
immermann-eudoxia	ger000167	Immermann	Eudoxia	Ein Epilog		1832	12	false	0.924242424	0.621212121	1.378787879	gordon|peter	6.833333333	2	1835	1832	11	12	2	8	2		1		2	0	0	7052	7015	246	0	913
immermann-merlin	ger000004	Immermann	Merlin	Eine Mythe		1832	28	false	0.752026941	0.261904762	2.267195767	artus	7.071428571	4		1832	14	28	4	22	2		1	1831/1832	19	0	0	22864	21686	885	7	3265
