id	issn	title	year	journal	author	type	primaryTopic	secondaryTopic	decade	period	century	pages	sentences	tokens	hasAbstract	isAbstractOf
102262	2607085	A Letter from Dr. John Wallis, to One of the Secretaries of the Royal Society (Dr. Robert Plot, the Publisher of these Transactions) concerning an Antient Mantle-Tree in Northampton-Shire; on which the Date of It (for the Year of our Lord 1133) is Expressed by the Numeral Figures, which Shews the Great Antiquity of Those Figures Here in England	1683	Philosophical Transactions (1683-1775)	John Wallis	fla	Headmatter	Observation	1680	1650	1600	7	60	1804		
102270	2607085	A Discourse concerning the Methods of Approximation in the Extraction of Surd Roots. By John Wallis, S. T. D. and Savilian Professor of Geometry at Oxford	1695	Philosophical Transactions (1683-1775)	John Wallis	fla	Mathematics	Observation	1690	1650	1600	10	126	4530		
102271	2607085	A Discourse Concerning a Method of Discovering the True Moment of the Sun&apos;s Ingress into the Tropical Signs. By E. Halley	1695	Philosophical Transactions (1683-1775)	E. Halley	fla	Solar System	Mechanics	1690	1650	1600	7	91	2502		
102280	2607085	A Most Compendious and Facile Method for Constructing the Logarithms, Exemplified and Demonstrated from the Nature of Numbers, without any Regard to the Hyperbola, with a Speedy Method for Finding the Number from the Logarithm Given. By E. Halley	1695	Philosophical Transactions (1683-1775)	E. Halley	fla	Mathematics	Observation	1690	1650	1600	10	53	4108		
102281	2607085	A Proposition of General Use in the Art of Gunnery, Shewing the Rule of Laying a Mortar to Pass, in Order to Strike any Object above or below the Horizon. By E. Halley	1695	Philosophical Transactions (1683-1775)	E. Halley	fla	Mechanics	Observation	1690	1650	1600	5	29	1601		
102291	2607085	Some Account of the Ancient State of the City of Palmyra, with Short Remarks upon the Inscriptions Found there. By E. Halley	1695	Philosophical Transactions (1683-1775)	E. Halley	fla	Headmatter	Observation	1690	1650	1600	16	170	5526		
102296	2607085	An Easie Demonstration of the Analogy of the Logarithmick Tangents to the Meridian Line or Sum of the Secants: With Various Methods for Computing the Same to the Utmost Exact Ness, by E. Halley	1695	Philosophical Transactions (1683-1775)	E. Halley	fla	Solar System	Mathematics	1690	1650	1600	13	102	5017		
102308	2607085	Several Microscopical Observations and Experiments, Made by Mr. Stephen Gray	1695	Philosophical Transactions (1683-1775)	Stephen Gray	fla	Observation	Optics	1690	1650	1600	10	44	2643		
102313	2607085	An Account of Four Sorts of Strange Beans, Frequently Cast on Shoar on the Orkney Isles, with Some Conjectures about the Way of Their Being Brought Thither from Jamaica, where Three Sorts of Them Grow. By Hans Sloane, Coll. Med. Lond.\ S. R. S.	1695	Philosophical Transactions (1683-1775)	Hans Sloane	fla	Geography	Observation	1690	1650	1600	3	54	1434		
102326	2607085	A Letter from Mr. Stephen Gray, Giving a Further Account of His Water Microscope	1695	Philosophical Transactions (1683-1775)	Stephen Gray	fla	Observation	Optics	1690	1650	1600	5	14	1086		
102331	2607085	An Account of the Nature and Differences of the Juices, More Particularly, of Our English Vegetables. By Dr. Martin Lister, Fell. of Coll. of Phys. and R. S.	1695	Philosophical Transactions (1683-1775)	Martin Lister	fla	Observation	Botany	1690	1650	1600	19	278	6847		
102335	2607085	An Account of a Book	1695	Philosophical Transactions (1683-1775)	James Petiver	brv	Observation	Botany	1690	1650	1600	8	80	2245		
102339	2607085	Part of Two Letters Wrote Some Time Since to Oxford, by Dr. Martin Lister, Fell. of Coll. of Phys. et R. S. Concerning Several Plants May be Usefully Cultivated for Producing Grass or Hay	1695	Philosophical Transactions (1683-1775)	Martin Lister	fla	Observation	Botany	1690	1650	1600	6	44	1568		
102392	2607085	An Account of the Tongue of a Pastinaca Marina, Frequent in the Seas about Jamaica, and Lately Dug up in Mary-Land, and England. By Hans Sloane. M. D.	1695	Philosophical Transactions (1683-1775)	Hans Sloane	fla	Observation	Paleontology	1690	1650	1600	4	50	1020		
102393	2607085	A Catalogue of Some Guinea-Plants, with Their Native Names and Virtues; Sent to James Petiver, Apothecary, and Fellow of the Royal Society; with His Remarks on Them. Communicated in a Letter to Dr. Hans Sloane. Secret. Reg. Soc.	1695	Philosophical Transactions (1683-1775)	James Petiver	fla	Botany	Observation	1690	1650	1600	10	174	3135		
102436	2607085	An Account of a Prodigiously Large Feather of the Bird Cuntur, Brought from Chili, and Supposed to be a Kind of Vultur; and of the Coffee-Shrub. By Hans Sloane, M. D. S. R. S.	1694	Philosophical Transactions (1683-1775)	Hans Sloane	fla	Observation	Geography	1690	1650	1600	5	42	1402		
102481	2607085	A Letter of Mr. W. Derham, Rector of Upminster, Dated Jan. 13. 1697/8. To Dr. Sloane, about a Contrivance to Measure the Height of the Mercury in the Barometer, by a Circle on One of the Weather Plates, with a Register of the Weather, etc. for the Year 1697	1698	Philosophical Transactions (1683-1775)	W. Derham	fla	Weather	Observation	1690	1650	1600	13	432	5811		
102489	2607085	Of the Use of the Root IPecacuanha, for Loosenesses, Translated from a French Paper: With Some Notes on the Same, by Hans Sloane, M. D.	1698	Philosophical Transactions (1683-1775)	Hans Sloane	fla	Observation	Physiology I	1690	1650	1600	11	100	3714		
102499	2607085	Part of a Letter from Mr. Anthony van Leeuwenhoek, F. R. S. Concerning the Eyes of Beetles, etc.	1698	Philosophical Transactions (1683-1775)	Anthony van Leeuwenhoek	fla	Observation	Optics	1690	1650	1600	7	51	2446		
102506	2607085	A Letter of Dr. John Wallis, of May 14. 1698. to Sir John Blencowe (One of His Majesty&apos;s Justices of the Court of Common-Pleas) Concerning the Observation of Easter for This Present Year, on April 24, 1698	1698	Philosophical Transactions (1683-1775)	John Wallis	fla	Solar System	Headmatter	1690	1650	1600	5	65	1487		
102508	2607085	An Account of the Appearance of an Extraordinary Iris Seen at Chester, in August Last, by E. Halley	1698	Philosophical Transactions (1683-1775)	E. Halley	fla	Optics	Solar System	1690	1650	1600	5	16	1045		
102521	2607085	A Letter of Dr. John Wallis to Samuel Pepys Esquire, Relating to Some Supposed Imperfections in an Organ	1698	Philosophical Transactions (1683-1775)	John Wallis	fla	Mechanics	Observation	1690	1650	1600	8	106	3889		
102539	2607085	A Letter of Dr. John Wallis, to Mr. Andrew Fletcher; Concerning the Strange Effects Reported of Musick in Former Times, beyond What is to be Found in Later Ages	1698	Philosophical Transactions (1683-1775)	John Wallis	fla	Observation	Headmatter	1690	1650	1600	7	55	2280		
102545	2607085	An Account of Some Indian Plants, etc. with Their Names, Descriptions and Vertues; Communicated in a Letter from Mr. James Petiver, Apothecary and Fellow of the Royal Society; to Mr. Samuel Brown, Surgeon at Fort St. George	1698	Philosophical Transactions (1683-1775)	James Petiver	fla	Botany	Observation	1690	1650	1600	23	647	7382		
102550	2607085	A Letter of Dr. John Wallis, (Geom. Prof. Oxon, and F. R. S.) to Mr. Thoma&apos;s Beverly; Concerning His Method for Instructing Persons Deaf and Dumb	1698	Philosophical Transactions (1683-1775)	John Wallis	fla	Observation	Headmatter	1690	1650	1600	8	143	4820		
102565	2607085	Remarks by Mr. James Petiver, Apothecary, and Fellow of the Royal Society, on Some Animals, Plants, etc. Sent to Him from Maryland, by the Reverend Mr. Hugh Jones	1698	Philosophical Transactions (1683-1775)	James Petiver	fla	Botany	Observation	1690	1650	1600	14	752	4580		
102606	2607085	Some Observations Made at a Meeting of the Royal Society, Concerning Some Wonderful Contriuances of Nature in a Family of Plants in Jamaica, to Perfect the Individuum, and Propagate the Species, with Several Instances Analogous to Them in European Vegetables. By Hans Sloane, M. D.	1699	Philosophical Transactions (1683-1775)	Hans Sloane	fla	Observation	Botany	1690	1650	1600	10	55	2554		
102635	2607085	Some Attempts Made to Prove That Herbs of the Same Make or Class for the Generallity, have the Like Vertue and Tendency to Work the Same Effects. In a Discourse Made before the Royal Society, by Mr. James Petiver Apothecary, and Fellow of the Said Society	1699	Philosophical Transactions (1683-1775)	James Petiver	fla	Observation	Botany	1690	1650	1600	6	63	2018		
102647	2607085	An Extract of Two Letters, from Dr. John Wallis, (Professor of Geometry in Oxford.) The One to His Grace the Lord Arch-Bishop of Canterbury. The Other to the Lord Bishop of Worcester	1699	Philosophical Transactions (1683-1775)	John Wallis	fla	Headmatter	Observation	1690	1650	1600	12	132	3945		
102667	2607085	Microscopical Observations on the Seeds of Several East-India Plants, by Mr Anthony van Leeuwenhoek, F. R. S.	1706	Philosophical Transactions (1683-1775)	Anthony van Leeuwenhoek	fla	Observation	Physiology I	1700	1700	1700	5	12	1748		
102688	2607085	Microscopical Observations on the Structure of the Spleen, and the Proboscis of Fleas. By Mr Anthony Van Leeuwenhoek, F. R. S.	1706	Philosophical Transactions (1683-1775)	Anthony van Leeuwenhoek	fla	Observation	Physiology II	1700	1700	1700	9	56	2921		
102717	2607085	An Extract of a Letter to His Excellency Signior Francisco Cornaro, Ambassador from the Republick of Venice, to the Queen of Great Britain, etc. By Anthony Van Leeuwenhoek, F.R.S. Containing Microscopical Observations of the Salts of Pearls, Oyster-Shells, etc.	1706	Philosophical Transactions (1683-1775)	Anthony van Leeuwenhoek	fla	Observation	Chemistry I	1700	1700	1700	9	41	3192		
102718	2607085	Part of a Letter Written to Signior Antonio Magliabechi, by Mr Anthony Van Leeuwenhoek, F. R. S. concerning the Particles of Silver Dissolved in Aqua Fortis, etc.	1706	Philosophical Transactions (1683-1775)	Anthony van Leeuwenhoek	fla	Observation	Chemistry I	1700	1700	1700	9	49	2867		
102721	2607085	Microscopical Observations on the Cortex Peruvianus: By Mr. Anthony Van Leeuwenhoek, F. R. S.	1706	Philosophical Transactions (1683-1775)	Anthony van Leeuwenhoek	fla	Observation	Physiology I	1700	1700	1700	11	47	3786		
102750	2607085	Part of a Letter from the Reverend Mr Derham to Dr Sloane, Giving an Account of His Observations of the Weather for the Year 99	1700	Philosophical Transactions (1683-1775)	W. Derham	fla	Weather	Observation	1700	1700	1700	15	375	6637		
102773	2607085	Part of Two Letters from Mr Anthony Van Leenwenhoek, F. R. S. concerning Worms Pretended to be Taken from the Teeth	1700	Philosophical Transactions (1683-1775)	Anthony van Leeuwenhoek	fla	Observation	Physiology I	1700	1700	1700	8	53	2386		
102802	2607085	A Letter of Dr Wallis to Dr Tyson, concerning Mens Feeding on Flesh	1700	Philosophical Transactions (1683-1775)	John Wallis	fla	Observation	Physiology I	1700	1700	1700	17	197	6332		
102810	2607085	A Letter from Mr Stephen Gray, concerning Drawing the Meridian Line by the Pole Star, and Finding the Hour by the Same	1700	Philosophical Transactions (1683-1775)	Stephen Gray	fla	Solar System	Observation	1700	1700	1700	5	20	1721		
102817	2607085	An Account of Mr Sam. Brown, his Third Book of East India Plants, with Their Names, Vertues, Description,\c. By James Petiver, Apothecary, and Fellow of the Royal Society. To Which are Added Some Animals Sent Him from Those Parts	1700	Philosophical Transactions (1683-1775)	James Petiver	fla	Botany	Observation	1700	1700	1700	20	995	7992		
102819	2607085	A Letter from Mr Anthony Van Leeuwenhoek, F. R. S. concerning Spiders, Their Way of Killing Their Prey, Spinning Their Webbs, Generation, etc	1700	Philosophical Transactions (1683-1775)	Anthony van Leeuwenhoek	fla	Observation	Physiology I	1700	1700	1700	23	148	8714		
102825	2607085	Part of a Letter from Mr Anthony van Leeuwenhoek, F. R. S. to the Pablisher, concerning Several Microscopical Observations	1700	Philosophical Transactions (1683-1775)	Anthony van Leeuwenhoek	fla	Observation	Optics	1700	1700	1700	5	27	1687		
102834	2607085	A Letter of Dr John Wallis, D. D. Professor of Geometry in the University of Oxford, and Fellow of the Royal Society in London; To Dr Hans Sloane, Secretary to the Said Royal Society; Relating to That Isthmus, or Neck of Land, Which is Supposed to Have Joyned England and France in former Times, Where Now is the Passage Between Dover and Calais	1700	Philosophical Transactions (1683-1775)	John Wallis	fla	Geography	Observation	1700	1700	1700	14	117	5139		
102842	2607085	A Second Letter of Dr Wallis to the Publisher, Relating to Mr Somner&apos;s Treatise of Chartham News: And, Some Magnetick Affairs	1700	Philosophical Transactions (1683-1775)	John Wallis	fla	Observation	Geography	1700	1700	1700	9	82	3169		
102857	2607085	A Letter of Dr Wallis to Captain Edmund Halley; Concerning the Captains Map of Magnetick Variations; And Some Other Things Relating to the Magnet	1702	Philosophical Transactions (1683-1775)	John Wallis	fla	Observation	Terrestrial Magnetism	1700	1700	1700	7	75	2868		
102913	2607085	Part of Two Letters from Mr Stephen Gray, concerning the Spots of the Sun, observ&apos;d by Him in June Last	1702	Philosophical Transactions (1683-1775)	Stephen Gray	fla	Solar System	Observation	1700	1700	1700	5	22	1037		
102936	2607085	A Supplement to the Account of the Pediculus Pulsatorius, or Death-Watch, in Philos. Trans. No 271. Serving to the More Perfect Natural History of That Infect. By the Reverend Mr W. Derham, F. R. S.	1704	Philosophical Transactions (1683-1775)	W. Derham	fla	Observation	Physiology I	1700	1700	1700	11	103	3152		
102960	2607085	Experiments about the Motion of Pendulums in Vacuo. By the Reverend Mr. W. Derham, F. R. S.	1704	Philosophical Transactions (1683-1775)	W. Derham	fla	Observation	Thermodynamics	1700	1700	1700	5	55	2024		
102962	2607085	A Letter to the Royal Society, from Mr Anthony Van Leeuwenhock, F. R. S. concerning Animalcula on the Roots of Duck-Weed, etc.	1704	Philosophical Transactions (1683-1775)	Anthony van Leeuwenhoek	fla	Observation	Mechanics	1700	1700	1700	11	55	3665		
102972	2607085	A Letter from Mr Anthony Van Leeuwenhoek, F. R. S. concerning the Barks of Trees	1704	Philosophical Transactions (1683-1775)	Anthony van Leeuwenhoek	fla	Observation	Physiology II	1700	1700	1700	16	104	4980		
102973	2607085	Part of a Letter from Mr Anthony Van Leeuwenhoek, F. R. S. to John Chamberlayne, Esq; F. R. S. concerning the Vitrifyed Salts of Calcin&apos;d Hay	1704	Philosophical Transactions (1683-1775)	Anthony van Leeuwenhoek	fla	Observation	Chemistry I	1700	1700	1700	4	21	1142		
102977	2607085	Observations on the Seed-Vessels and Seeds of Polypodium. In a Letter from Mr Anthony Van Leeuwenhoek, F. R. S.	1704	Philosophical Transactions (1683-1775)	Anthony van Leeuwenhoek	fla	Observation	Botany	1700	1700	1700	8	49	2435		
102985	2607085	A Letter from Mr Anthony Van Leeuwenhoek, F. R. S. concerning the Figures of the Salts of Crystal	1704	Philosophical Transactions (1683-1775)	Anthony van Leeuwenhoek	fla	Observation	Optics	1700	1700	1700	13	71	4442		
103047	2607085	An Account of Several Extraordinary Meteors or Lights in the Sky. by Dr. Edmund Halley, Savilian Professor of Geometry at Oxon, and Secretary to the Royal-Society	1714	Philosophical Transactions (1683-1775)	Edmund Halley	fla	Solar System	Geography	1710	1700	1700	6	49	2369		
103048	2607085	Some Remarks on the Variations of the Magnetical Compass Published in the Memoirs of the Royal Academy of Sciences, with Regard to the General Chart of Those Variations Made by E. Halley; As Also concerning the True Longitude of the Magellan Streights	1714	Philosophical Transactions (1683-1775)	E. Halley	fla	Terrestrial Magnetism	Solar System	1710	1700	1700	4	35	1611		
103053	2607085	Botanicum Hortense IV. Giving an Account of Divers Rare Plants, Observed the Last Summer A. D. 1714. in Several Curious Gardens about London, and Particularly the Society of Apothecaries Physick-Garden at Chelsea. by James Petiver, F. R. S.	1714	Philosophical Transactions (1683-1775)	James Petiver	fla	Botany	Observation	1710	1700	1700	16	1043	5404		
103054	2607085	Observations of the Late Total Eclipse of the Sun on the 22d of April Last Past, Made before the Royal Society at Their House in Crane-Court in Fleet-Street, London. by Dr. Edmund Halley, Reg. Soc. Secr. with an Account of What Has Been Communicated from Abroad concerning the Same	1714	Philosophical Transactions (1683-1775)	Edmund Halley	fla	Solar System	Geography	1710	1700	1700	18	296	6725		
103057	2607085	Botanicum Hortense IV. Giving an Account of Divers Rare Plants, Observed the Last Summer A. D. 1714. in Several Curious Gardens about London and Particularly the Society of Apothecaries Physick-Garden at Chelsea	1714	Philosophical Transactions (1683-1775)	James Petiver	fla	Botany	Geography	1710	1700	1700	16	1131	5574		
103060	2607085	A Short Account of the Cause of the Saltness of the Ocean, and of the Several Lakes That Emit no Rivers; With a Proposal, by Help Thereof, to Discover the Age of the World. Produced before the Royal-Society by Edmund Halley, R. S. Secr.	1714	Philosophical Transactions (1683-1775)	Edmund Halley	fla	Observation	Geography	1710	1700	1700	5	24	1633		
103070	2607085	Botanicum Hortense IV. Continued from No. 345. by James Petiver, F. R. S.	1714	Philosophical Transactions (1683-1775)	James Petiver	fla	Botany	Observation	1710	1700	1700	12	579	3692		
103079	2607085	An Account of the Late Surprizing Appearance of the Lights Seen in the Air, on the Sixth of March Last; With an Attempt to Explain the Principal Phaenomena thereof; As It Was Laid before the Royal Society by Edmund Halley, J. V. D. Savilian Professor of Geom. Oxon, and Reg. Soc. Secr	1714	Philosophical Transactions (1683-1775)	Edmund Halley	fla	Observation	Solar System	1710	1700	1700	26	150	8653		
103083	2607085	A Plain and Easy Experiment to Confirm Sir Isaac Newton&apos;s Doctrine of the Different Refrangibility of the Rays of Light. By the Same	1714	Philosophical Transactions (1683-1775)	J. T. Desaguliers	fla	Optics	Observation	1710	1700	1700	7	36	1737		
103103	2607085	A Letter from Mr Anthony van Leeuwenhoek, F. R. S. Containing Some Microscopical Observations upon the Chrystalized Particles of Silver Dissolved in Aqua Fortis	1710	Philosophical Transactions (1683-1775)	Anthony van Leeuwenhoek	fla	Observation	Chemistry I	1710	1700	1700	6	21	1214		
103124	2607085	A Letter from Dr. Hans Sloane, R. S. Secr. to the Right Honourable the Earl of Cromertie, in Answer to the Foregoing Letter,\c.	1710	Philosophical Transactions (1683-1775)	Hans Sloane	fla	Observation	Geography	1710	1700	1700	7	69	2464		
103135	2607085	An Account of Divers Rare Plants, Lately Observed in Several Curious Gardens about London, and Particularly the Company of Apothecaries Physick Garden at Chelsey. By Mr. James Petiver, F. R. S.	1710	Philosophical Transactions (1683-1775)	James Petiver	fla	Botany	Observation	1710	1700	1700	20	1460	8531		
103138	2607085	Additional Observations upon the Production of Mites,\c. In a Letter from Mr. Anthony van Leeuwenhoek, F. R. S.	1710	Philosophical Transactions (1683-1775)	Anthony van Leeuwenhoek	fla	Observation	Thermodynamics	1710	1700	1700	19	110	6645		
103139	2607085	Some Farther Account of Divers Rare Plants, Lately Observed in Several Curious Gardens about London, and Particularly in the Company of Apothecaries Physick-Garden at Chelsey. By Mr. James Petiver, F. R. S.	1710	Philosophical Transactions (1683-1775)	James Petiver	fla	Botany	Observation	1710	1700	1700	11	470	3870		
103154	2607085	Observations concerning the Subterraneous Trees in Dagenham, and Other Marshes Bordering upon the River of Thames, in the County of Essex. By the Revd. Mr. W. Derham, Rector of Upminster in the Same County, and F. R. S.	1710	Philosophical Transactions (1683-1775)	W. Derham	fla	Observation	Geography	1710	1700	1700	7	51	2600		
